,node,X,Y,ki,n,C,Lp_no_length,Lp_length,Gm_no_length,Gm_length,IIc
0,1,119.039999029,37.8366592287,1,1,0.0,5.0,23672.45915,0,0,
1,2,119.094899285,37.8469625277,3,3,1.0,0.5,1912.06113167,3,3,
2,3,119.095829447,37.8639443295,1,1,0.0,5.0,15318.23031,0,0,
3,4,119.038699204,37.8196236752,1,1,0.0,219.0,362414.74218,0,0,
4,5,119.069537855,37.8216045334,1,1,0.0,215.0,268959.10452,0,0,
5,6,119.081009352,37.820160303,4,4,0.666666666667,18.5,22991.563362,87,87,
6,7,119.082322305,37.8214581004,1,1,0.0,215.0,235456.60032,0,0,
7,8,119.101701674,37.8253031056,1,1,0.0,5.0,18371.14449,0,0,
8,9,119.101331663,37.8187066406,1,1,0.0,215.0,293929.23372,0,0,
9,10,119.079817912,37.8185235991,3,3,1.0,26.8333333333,37480.15647,158,158,
10,11,119.049768643,37.8076810819,1,1,0.0,173.0,304698.34296,0,0,
11,12,119.098828983,37.8022501581,3,3,1.0,21.5,25699.7712433,270,270,
12,13,119.073710797,37.7984953982,1,1,0.0,1.0,2608.68471,0,0,
13,14,119.048466083,37.8049739694,1,1,0.0,1.0,2608.68471,0,0,
14,15,119.106660013,37.80494946,3,3,1.0,20.8333333333,25168.0171367,254,254,
15,16,119.110178856,37.8113637796,3,3,1.0,20.8333333333,25168.0171367,254,254,
16,17,119.112452503,37.813928611,3,3,1.0,21.5,25400.8224233,246,246,
17,18,119.136984925,37.8332781104,1,1,0.0,159.0,247097.55374,0,0,
18,19,119.084307608,37.7823250472,3,3,1.0,29.8333333333,36553.7191867,59,59,
19,20,119.080379102,37.779016794,1,1,0.0,209.0,234902.62882,0,0,
20,21,119.084250218,37.7786779921,1,1,0.0,209.0,231995.09662,0,0,
21,22,119.112245466,37.8012282456,1,1,0.0,155.0,184298.19052,0,0,
22,23,119.117978308,37.8106367968,1,1,0.0,155.0,176642.19202,0,0,
23,24,119.130410427,37.8065482867,4,4,0.666666666667,14.7,17165.048608,237,237,
24,25,119.12349999,37.8029354098,3,3,1.0,28.8333333333,31959.47821,59,59,
25,26,119.121122189,37.7952166235,1,1,0.0,203.0,221078.43246,0,0,
26,27,119.111107832,37.7862491291,1,1,0.0,203.0,266365.49856,0,0,
27,28,119.121814588,37.7752336808,1,1,0.0,177.0,279722.67658,0,0,
28,29,119.12669427,37.7916943228,1,1,0.0,1.0,3660.04632,0,0,
29,30,119.125931079,37.7671182595,1,1,0.0,1.0,3660.04632,0,0,
30,31,119.137564856,37.796871672,1,1,0.0,1.0,1296.86669,0,0,
31,32,119.145448275,37.8051402235,1,1,0.0,1.0,1296.86669,0,0,
32,33,119.146763509,37.7990570788,3,3,1.0,32.1666666667,42614.1514767,59,59,
33,34,119.14197189,37.7933165491,1,1,0.0,223.0,283595.38336,0,0,
34,35,119.147708738,37.7942850127,1,1,0.0,223.0,272267.47006,0,0,
35,36,119.163395343,37.817414373,1,1,0.0,197.0,249913.60218,0,0,
36,37,119.155560258,37.8097640523,4,4,0.666666666667,16.7,21693.330948,137,137,
37,38,119.172322816,37.8094457338,1,1,0.0,1.0,5636.81325,0,0,
38,39,119.143594305,37.7790030727,1,1,0.0,197.0,347977.76538,0,0,
39,40,119.141497532,37.7738768956,1,1,0.0,1.0,5636.81325,0,0,
40,41,119.141273127,37.764402883,1,1,0.0,15.0,29299.06526,0,0,
41,42,119.174007728,37.7844153404,3,3,1.0,1.5,2641.06088833,4,6,
42,43,119.153653302,37.7737908191,3,3,1.0,1.66666666667,2977.415735,5,5,
43,44,119.165506083,37.7770100055,3,3,1.0,1.66666666667,2425.55852,2,9,
44,45,119.189721479,37.8038504729,1,1,0.0,15.0,24357.0956,0,0,
45,46,119.187531403,37.7922562632,3,3,1.0,1.66666666667,2964.86220833,5,5,
46,47,119.09245592,37.8127111566,3,3,1.0,23.8333333333,30142.14111,191,191,
47,48,119.074446019,37.8160049566,2,2,2.0,63.0,80778.13026,30,30,
48,49,119.124169476,37.8139767691,2,2,2.0,45.6666666667,53768.45626,220,220,
49,50,119.182840513,37.7815821753,2,2,2.0,3.66666666667,5571.88029,0,0,
50,51,119.091486714,37.7945507133,2,2,2.0,51.0,60102.0204067,84,84,
